TICKET;EMPRESA;SETOR;SEGMENTO
LUXM3;TREVISA INVESTIMENTOS S.A.;Bens Industriais;Transporte Hidroviário
LUXM4;TREVISA INVESTIMENTOS S.A.;Bens Industriais;Transporte Hidroviário
LWSA3;LOCAWEB SERVIÇOS DE INTERNET S.A.;Tecnologia da Informação;Programas e Serviços
MAPT3;CEMEPE INVESTIMENTOS S.A.;Outros;Outros
MAPT4;CEMEPE INVESTIMENTOS S.A.;Outros;Outros
MATD3;HOSPITAL MATER DEI S/A;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
MBLY3;Mobly S.A.;Tecnologia da Informação;Programas e Serviços
MDIA3;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Consumo não Cíclico;Alimentos Diversos
MDNE3;MOURA DUBEUX ENGENHARIA S/A;Consumo Cíclico;Incorporações
MEAL3;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;Consumo Cíclico;Restaurante e Similares
MELK3;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;Consumo Cíclico;Incorporações
MERC3;MERCANTIL BRASIL FINANC S.A. C.F.I.;Financeiro;Soc. Crédito e Financiamento
MERC4;MERCANTIL BRASIL FINANC S.A. C.F.I.;Financeiro;Soc. Crédito e Financiamento
MGEL4;MANGELS INDUSTRIAL S.A.;Materiais Básicos;Artefatos de Ferro e Aço
MGLU3;MAGAZINE LUIZA S.A.;Consumo Cíclico;Eletrodomésticos
MILS3;MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.;Bens Industriais;Serviços Diversos
MMXM3;MMX MINERACAO E METALICOS S.A.;Materiais Básicos;Minerais Metálicos
MNDL3;MUNDIAL S.A. - PRODUTOS DE CONSUMO;Consumo Cíclico;Acessórios
MNPR3;MINUPAR PARTICIPACOES S.A.;Consumo não Cíclico;Carnes e Derivados
MOAR3;MONTEIRO ARANHA S.A.;Financeiro;Holdings Diversificadas
MODL11;BANCO MODAL S.A;Financeiro;Bancos
MODL3;BANCO MODAL S.A;Financeiro;Bancos
MODL4;BANCO MODAL S.A;Financeiro;Bancos
MOVI3;MOVIDA PARTICIPACOES SA;Consumo Cíclico;Aluguel de carros
MRFG3;MARFRIG GLOBAL FOODS S.A.;Consumo não Cíclico;Carnes e Derivados
MRSA3B;MRS LOGISTICA S.A.;Bens Industriais;Transporte Ferroviário
MRSA5B;MRS LOGISTICA S.A.;Bens Industriais;Transporte Ferroviário
MRSA6B;MRS LOGISTICA S.A.;Bens Industriais;Transporte Ferroviário
MRVE3;MRV ENGENHARIA E PARTICIPACOES S.A.;Consumo Cíclico;Incorporações
MSPA3;CIA MELHORAMENTOS DE SAO PAULO;Materiais Básicos;Papel e Celulose
MSPA4;CIA MELHORAMENTOS DE SAO PAULO;Materiais Básicos;Papel e Celulose
